AgileUML_path,LLM4Models_path,filename,tp,fp,fn,precision,recall,f1
C:\Users\PC\Desktop\Temp\aaa\1\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\1\LLM4Models.txt,1,25,1,2,0.96,0.93,0.94
C:\Users\PC\Desktop\Temp\aaa\2\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\2\LLM4Models.txt,2,61,11,10,0.85,0.86,0.85
C:\Users\PC\Desktop\Temp\aaa\3\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\3\LLM4Models.txt,3,28,2,3,0.93,0.9,0.92
C:\Users\PC\Desktop\Temp\aaa\4\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\4\LLM4Models.txt,4,20,13,4,0.61,0.83,0.7
C:\Users\PC\Desktop\Temp\aaa\5\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\5\LLM4Models.txt,5,24,8,9,0.75,0.73,0.74
C:\Users\PC\Desktop\Temp\aaa\6\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\6\LLM4Models.txt,6,10,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\7\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\7\LLM4Models.txt,7,9,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\8\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\8\LLM4Models.txt,8,9,1,1,0.9,0.9,0.9
C:\Users\PC\Desktop\Temp\aaa\9\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\9\LLM4Models.txt,9,22,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\10\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\10\LLM4Models.txt,10,25,1,1,0.96,0.96,0.96
C:\Users\PC\Desktop\Temp\aaa\11\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\11\LLM4Models.txt,11,8,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\12\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\12\LLM4Models.txt,12,34,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\13\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\13\LLM4Models.txt,13,31,1,1,0.97,0.97,0.97
C:\Users\PC\Desktop\Temp\aaa\14\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\14\LLM4Models.txt,14,16,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\15\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\15\LLM4Models.txt,15,17,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\16\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\16\LLM4Models.txt,16,12,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\17\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\17\LLM4Models.txt,17,17,5,5,0.77,0.77,0.77
C:\Users\PC\Desktop\Temp\aaa\18\cgJava2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\18\LLM4Models.txt,18,10,0,0,1.0,1.0,1.0
AVERAGE,,,21.0,2.388888888888889,2.0,0.9277777777777779,0.9361111111111112,0.9305555555555556
