AgileUML_path,LLM4Models_path,filename,tp,fp,fn,precision,recall,f1
C:\Users\PC\Desktop\Temp\aaa\1\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\1\LLM4Models.txt,1,28,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\2\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\2\LLM4Models.txt,2,13,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\3\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\3\LLM4Models.txt,3,10,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\4\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\4\LLM4Models.txt,4,16,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\5\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\5\LLM4Models.txt,5,10,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\6\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\6\LLM4Models.txt,6,6,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\7\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\7\LLM4Models.txt,7,5,1,1,0.83,0.83,0.83
C:\Users\PC\Desktop\Temp\aaa\8\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\8\LLM4Models.txt,8,11,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\9\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\9\LLM4Models.txt,9,23,1,1,0.96,0.96,0.96
C:\Users\PC\Desktop\Temp\aaa\10\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\10\LLM4Models.txt,10,9,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\11\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\11\LLM4Models.txt,11,9,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\12\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\12\LLM4Models.txt,12,13,0,0,1.0,1.0,1.0
C:\Users\PC\Desktop\Temp\aaa\13\python2UML_out.km3,C:\Users\PC\Desktop\Temp\aaa\13\LLM4Models.txt,13,7,2,2,0.78,0.78,0.78
AVERAGE,,,12.307692307692308,0.3076923076923077,0.3076923076923077,0.9669230769230768,0.9669230769230768,0.9669230769230768
